i1,out_dayID,out_SHO,out_activity,out_yearID,out_monthID,out_hourID,out_stateID,out_countyID,out_sourceTypeID,out_roadTypeID,out_SCC,out_zoneID,out_linkID,out_regClassID,out_fuelSubTypeID,out_engTechID,out_sectorID,out_hpID,out_modelYearID,out_fuelTypeID,out_pollutantID,out_processID,out_emissionQuant,out_refuelingRate,out_chainedEnergy
59,5,148.74713474802425,29.74942694960485,2020,8,7,26,26161,21,4,2205210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2003,5,1,18,0.008213672750048135,0.368156448827908,1912.6440763404835
60,5,118.52562992373574,23.70512598474715,2020,8,7,26,26161,21,4,2205210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2002,5,1,18,0.0038442886367604135,0.38819433798131625,848.9770836315337
61,5,94.5116320580201,18.90232641160402,2020,8,7,26,26161,21,4,2205210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2001,5,1,18,0.0038281732378773557,0.4082322271347245,803.9211840327994
62,5,83.62548218400153,16.725096436800307,2020,8,7,26,26161,21,4,2205210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2000,5,1,18,0.0043676195617680935,0.4082322271347245,917.2055890156954
63,5,60.874080684058114,12.174816136811623,2020,8,7,26,26161,21,4,2205210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1999,5,1,18,0.009587690810520157,0.9063169003765866,906.9077600858818
64,5,46.82985881634186,9.365971763268373,2020,8,7,26,26161,21,4,2205210418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1998,5,1,18,0.008171148027966873,1.9024862468603105,368.20588762051347
65,5,260.05730384453915,52.01146076890783,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2020,1,1,19,12.075139688181741,0.155,9189413.768621335
66,5,310.4463445557139,62.08926891114278,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2019,1,1,19,14.74991296313843,0.155,11224967.724563068
67,5,327.8141613006279,65.56283226012559,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2018,1,1,19,15.606584988066102,0.155,11876911.627851235
68,5,368.3242419642923,73.66484839285846,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2017,1,1,19,18.444999823549367,0.155,14036999.96171767
69,5,367.29985169622574,73.45997033924515,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2016,1,1,19,18.738939383618593,0.155,14260693.62574098
70,5,392.56334931271454,78.51266986254291,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2015,1,1,19,21.057688926552135,0.155,16025306.667582024
71,5,364.0998652152451,72.81997304304902,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2014,1,1,19,20.425431403486822,0.155,15544146.520552233
72,5,370.3959424661204,74.07918849322408,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2013,1,1,19,21.350730898661062,0.155,16248317.24988753
73,5,316.43263381169584,63.286526762339165,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2012,1,1,19,18.86066986397263,0.155,14353332.864798486
74,5,231.92053549096389,46.38410709819278,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2011,1,1,19,15.080909982208489,0.155,11476862.828301866
75,5,230.10402906651655,46.02080581330331,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2010,1,1,19,14.908547425983352,0.155,11345691.604757326
76,5,205.50535743034038,41.10107148606808,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2009,1,1,19,13.138048177696385,0.155,9998307.59184477
77,5,253.9388285109485,50.7877657021897,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2008,1,1,19,16.54901234749235,0.155,12594116.991621323
78,5,268.1829985315532,53.63659970631064,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2007,1,1,19,17.82925305703948,0.155,13568404.818285251
79,5,229.81669167512396,45.963338335024794,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2006,1,1,19,15.179015071986528,0.155,11551522.690304166
80,5,203.39262514967626,40.67852502993525,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2005,1,1,19,13.465101421827825,0.155,10247201.406931251
81,5,164.72170300101715,32.94434060020343,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2004,1,1,19,10.924857336680487,0.155,8314026.754338319
82,5,148.74713474802425,29.74942694960485,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2003,1,1,19,9.856351122766071,0.155,7500872.955081433
83,5,118.52562992373574,23.70512598474715,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2002,1,1,19,7.834564983528764,0.155,5962254.7804777175
84,5,94.5116320580201,18.90232641160402,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2001,1,1,19,6.266088092175621,0.155,4768613.670448015
85,5,83.62548218400153,16.725096436800307,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2000,1,1,19,5.388290003445436,0.155,4100592.4258953338
86,5,60.874080684058114,12.174816136811623,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1999,1,1,19,3.9280298560817433,0.155,2989306.341388468
87,5,46.82985881634186,9.365971763268373,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1998,1,1,19,2.995716947704355,0.155,2279798.269586059
88,5,36.74778034358123,7.349556068716247,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1997,1,1,19,2.3432418471317096,0.155,1783252.1568522104
89,5,26.865139913300695,5.373027982660139,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1996,1,1,19,1.7382001880780384,0.155,1322803.8062845564
90,5,25.04660490806586,5.009320981613172,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1995,1,1,19,3.2023339418652834,0.31,1218518.889926458
91,5,18.41216437802274,3.6824328756045484,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1994,1,1,19,2.3727972583178083,0.31,902872.1968770834
92,5,15.146433442304176,3.029286688460835,2020,8,7,26,26161,21,4,2201210419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1993,1,1,19,1.9246599993434332,0.31,732351.6561548151
