i1,out_dayID,out_SHO,out_activity,out_yearID,out_monthID,out_hourID,out_stateID,out_countyID,out_sourceTypeID,out_roadTypeID,out_SCC,out_zoneID,out_linkID,out_regClassID,out_fuelSubTypeID,out_engTechID,out_sectorID,out_hpID,out_modelYearID,out_fuelTypeID,out_pollutantID,out_processID,out_meanBaseRate,out_adjustedMeanBaseRate,out_emissionQuantDirect,out_emissionQuant
45,5,367.29985169622574,73.45997033924515,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2016,2,3,1,0.0026747100131495347,0.0027002491834362727,0.1983602249237995,0.1983602249237995
46,5,392.56334931271454,78.51266986254291,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2015,2,3,1,0.03134406389415734,0.03164334919287601,2.4844038285254375,2.4844038285254375
47,5,364.0998652152451,72.81997304304902,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2014,2,3,1,0.04439771084521773,0.04482163743615392,3.2639104298460455,3.2639104298460455
48,5,370.3959424661204,74.07918849322408,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2013,2,3,1,0.04478513197431645,0.045212757812700066,3.349324408305498,3.349324408305498
49,5,316.43263381169584,63.286526762339165,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2012,2,3,1,0.045112069653310535,0.045542817219663134,2.882246720804532,2.882246720804532
50,5,231.92053549096389,46.38410709819278,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2011,2,3,1,0.04213609093940472,0.04253842270487779,1.9731067545312466,1.9731067545312466
51,5,230.10402906651655,46.02080581330331,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2010,2,3,1,0.04501592843894927,0.04544575801163785,2.091450404491959,2.091450404491959
52,5,205.50535743034038,41.10107148606808,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2009,2,3,1,0.04024854393483318,0.040632852668225396,1.670053782199604,1.670053782199604
53,5,253.9388285109485,50.7877657021897,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2008,2,3,1,0.0037489348468905206,0.0037847311332086333,0.192218038039183,0.192218038039183
54,5,268.1829985315532,53.63659970631064,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2007,2,3,1,0.002634033699942904,0.0026591844769890617,0.14262961333749732,0.14262961333749732
55,5,229.81669167512396,45.963338335024794,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2006,2,3,1,0.05140974377271834,0.052100441380422365,2.3947102145724792,2.3947102145724792
56,5,203.39262514967626,40.67852502993525,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2005,2,3,1,0.046642385560811385,0.047269032996886666,1.9228345419046895,1.9228345419046895
57,5,164.72170300101715,32.94434060020343,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2004,2,3,1,0.04368645833421124,0.044273392445260316,1.4585577202431295,1.4585577202431295
58,5,148.74713474802425,29.74942694960485,2020,8,7,26,26161,21,4,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2003,2,3,1,0.0762951091249682,0.07732014534349334,2.3002300156290847,2.3002300156290847
