i1,out_modelYearID,out_fuelTypeID,out_dayID,out_SHO,out_activity,out_meanBaseRate,out_adjustedMeanBaseRate,out_emissionQuantKilojoules,out_emissionQuant,out_yearID,out_monthID,out_hourID,out_stateID,out_countyID,out_sourceTypeID,out_roadTypeID,out_pollutantID,out_processID,out_SCC,out_zoneID,out_linkID,out_regClassID,out_fuelSubTypeID,out_engTechID,out_sectorID,out_hpID
45,2016,2,5,568.6493121343977,113.72986242687955,146.09629074564896,146.09629074564896,16615.51104758005,0.01574846512642605,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46,2015,2,5,607.7619621269895,121.5523924253979,1817.1445620691422,1817.1445620691422,220878.26890230618,0.20935219536927488,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
47,2014,2,5,563.6951306860644,112.73902613721289,2476.774529083662,2476.774529083662,279229.1483703461,0.2646581554307654,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48,2013,2,5,573.4426434643063,114.68852869286127,2570.3449858664258,2570.3449858664258,294789.08466209366,0.2794061287767725,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49,2012,2,5,489.89728344000207,97.97945668800041,2472.2663832881804,2472.2663832881804,242231.31702258368,0.2295909790396733,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
50,2011,2,5,359.05664640956604,71.8113292819132,2904.462915294802,2904.462915294802,208573.3427973406,0.19768937626654717,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,2010,2,5,356.2443525194939,71.24887050389877,2605.7608280871623,2605.7608280871623,185657.51580451426,0.17596936409200142,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,2009,2,5,318.16097829341277,63.632195658682555,1883.9223583586872,1883.9223583586872,119878.11611284666,0.11362252570015166,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,2008,2,5,393.14510879899035,78.62902175979806,168.95355463908777,168.95355463908777,13284.652724112064,0.012591420723880187,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
54,2007,2,5,415.19776535938905,83.0395530718778,113.86588471824572,113.86588471824572,9455.372177137086,0.008961963225964695,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,2006,2,5,355.79950014830104,71.15990002966021,1687.284728995185,1687.284728995185,120067.01263686968,0.11380156505154813,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
56,2005,2,5,314.89007101540653,62.97801420308131,1192.4399606074003,1192.4399606074003,75097.50077545457,0.0711786937312559,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
57,2004,2,5,255.0202039901817,51.00404079803634,821.2195668699877,821.2195668699877,41885.51629278259,0.03969980765263962,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58,2003,2,5,230.2885652303022,46.05771304606044,1010.2151870322086,1010.2151870322086,46528.20119910174,0.04410022369345713,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
59,2002,2,5,183.49998676876976,36.69999735375395,1125.8161536246646,1125.8161536246646,41317.44985883864,0.03916138458525149,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,2001,2,5,146.32179760023757,29.264359520047513,814.3166205912988,814.3166205912988,23830.454348133895,0.022586911601682802,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61,2000,2,5,129.46798835129627,25.893597670259254,750.6542399627539,750.6542399627539,19437.138879069797,0.01842285217216433,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
62,1999,2,5,94.2445360321913,18.848907206438263,456.4258253705138,456.4258253705138,8603.12802903081,0.00815419166797779,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
63,1998,2,5,72.501436851349,14.500287370269799,536.2947647863872,536.2947647863872,7776.428204573863,0.007370631456185271,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
64,1997,2,5,56.89248149254871,11.378496298509742,220.45158589359653,220.45158589359653,2508.4075540908902,0.0023775115177223217,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65,1996,2,5,41.59229376636794,8.318458753273587,302.0437168011456,302.0437168011456,2512.538199895778,0.0023814266143583267,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
66,1995,2,5,38.77685925137017,7.755371850274034,229.01639549600515,229.01639549600515,1776.1073068809433,0.0016834248373768092,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
67,1994,2,5,28.505496422381704,5.70109928447634,36.4683444267602,36.4683444267602,207.9096523174393,0.0001970603190953572,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
68,1993,2,5,23.44953018216591,4.6899060364331815,168.05571104115506,168.05571104115506,788.1654936689836,0.0007470367149920525,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
69,1992,2,5,19.793724042698255,3.958744808539651,283.1112802553258,283.1112802553258,1120.7653109497853,0.0010622805018670434,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,1991,2,5,19.512226723933956,3.9024453447867913,685.9327823907233,685.9327823907233,2676.8151934773296,0.002537131154356209,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
71,1990,2,5,16.25789295528262,3.251578591056524,258.50981187552424,258.50981187552424,840.5649698725042,0.0007967018334028596,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
72,1989,2,5,15.819037448675724,3.1638074897351447,221.24151691509493,221.24151691509493,699.9655682563421,0.0006634393194297496,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
73,1988,2,5,14.1729541412639,2.83459082825278,63.165335570822364,63.165335570822364,179.04788087256216,0.00016970463922580986,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
74,1987,2,5,13.943281426910733,2.788656285382147,3101.753160661612,3101.753160661612,8649.723447182945,0.008198355601047248,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,1986,2,5,12.046049843255599,2.40920996865112,2157.975661150733,2157.975661150733,5199.016474950837,0.004927716602457591,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
76,1985,2,5,9.277922277084855,1.855584455416971,4227.179447260349,4227.179447260349,7843.888472594406,0.007434571450284677,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
77,1984,2,5,7.400140714219595,1.480028142843919,5910.323207035081,5910.323207035081,8747.444679715447,0.008290977454100248,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
78,1983,2,5,5.516188343372941,1.1032376686745882,11540.279874556094,11540.279874556094,12731.671464657535,0.01206729564249395,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79,1982,2,5,4.034809855148089,0.8069619710296179,17817.137565565896,17817.137565565896,14377.752448014902,0.013627479309878178,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,1981,2,5,2.836822752954373,0.5673645505908745,14725.949509813781,14725.949509813781,8354.981725659405,0.007918994363862052,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
81,1980,2,5,35.90528309920591,7.181056619841182,10017.075965779566,10017.075965779566,71933.18967551335,0.06817950563142042,2020,8,9,26,26161,21,4,91,1,2202210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
82,2020,5,5,402.6176603769177,80.52353207538354,51.777989429872584,51.777989429872584,4169.346592655215,0.003951777903573843,2020,8,9,26,26161,21,4,91,1,2205210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
83,2019,5,5,480.62938079334634,96.12587615866927,83.44749824904869,83.44749824904869,8021.463882438826,0.007602880456323523,2020,8,9,26,26161,21,4,91,1,2205210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
84,2018,5,5,507.5180304883093,101.50360609766186,70.6992450908905,70.6992450908905,7176.228325107803,0.006801751760364358,2020,8,9,26,26161,21,4,91,1,2205210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
85,2017,5,5,570.2352611038926,114.04705222077853,47.652222638985975,47.652222638985975,5434.595523744598,0.0051510024480642186,2020,8,9,26,26161,21,4,91,1,2205210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
86,2016,5,5,568.6493121343977,113.72986242687955,93.9208676493322,93.9208676493322,10681.607356771712,0.010124209870559191,2020,8,9,26,26161,21,4,91,1,2205210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
87,2015,5,5,607.7619621269895,121.5523924253979,104.17636382995514,104.17636382995514,12662.886257709733,0.012002099848652316,2020,8,9,26,26161,21,4,91,1,2205210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
88,2014,5,5,563.6951306860644,112.73902613721289,140.0685085536938,140.0685085536938,15791.18724683531,0.014967156950485096,2020,8,9,26,26161,21,4,91,1,2205210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
89,2013,5,5,573.4426434643063,114.68852869286127,161.63838652040639,161.63838652040639,18538.06873031343,0.017570698131078578,2020,8,9,26,26161,21,4,91,1,2205210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,2012,5,5,489.89728344000207,97.97945668800041,172.32144994275654,172.32144994275654,16883.962041079747,0.016002907562603787,2020,8,9,26,26161,21,4,91,1,2205210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
91,2011,5,5,359.05664640956604,71.8113292819132,335.3197545868539,335.3197545868539,24079.75731136689,0.022823205207768506,2020,8,9,26,26161,21,4,91,1,2205210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
92,2010,5,5,356.2443525194939,71.24887050389877,210.2381378583526,210.2381378583526,14979.229859250581,0.014197569872127704,2020,8,9,26,26161,21,4,91,1,2205210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
93,2009,5,5,318.16097829341277,63.632195658682555,175.50974711210384,175.50974711210384,11168.070568243287,0.010585288010088647,2020,8,9,26,26161,21,4,91,1,2205210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94,2008,5,5,393.14510879899035,78.62902175979806,200.71980369210922,200.71980369210922,15782.401812129252,0.014958829965435244,2020,8,9,26,26161,21,4,91,1,2205210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,2007,5,5,415.19776535938905,83.0395530718778,120.43841445199301,120.43841445199301,10001.152108779088,0.009479262765867748,2020,8,9,26,26161,21,4,91,1,2205210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN
