i1,out_dayID,out_SHO,out_activity,out_yearID,out_monthID,out_hourID,out_stateID,out_countyID,out_sourceTypeID,out_roadTypeID,out_SCC,out_zoneID,out_linkID,out_regClassID,out_fuelSubTypeID,out_engTechID,out_sectorID,out_hpID,out_modelYearID,out_fuelTypeID,out_pollutantID,out_processID,out_meanBaseRate,out_adjustedMeanBaseRate,out_emissionQuant
102,5,83.62548218400153,16.725096436800307,2020,8,7,26,26161,21,4,2205210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2000,5,100,1,0,0,0.0018240848601070178
103,5,60.874080684058114,12.174816136811623,2020,8,7,26,26161,21,4,2205210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1999,5,100,1,0,0,0.0018317325245030846
104,5,46.82985881634186,9.365971763268373,2020,8,7,26,26161,21,4,2205210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1998,5,100,1,0,0,0.0009950613683721047
105,5,260.05730384453915,52.01146076890783,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2020,1,110,1,0,0,2.153539610111982
106,5,310.4463445557139,62.08926891114278,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2019,1,110,1,0,0,2.6458122461754834
107,5,327.8141613006279,65.56283226012559,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2018,1,110,1,0,0,2.81127921378358
108,5,368.3242419642923,73.66484839285846,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2017,1,110,1,0,0,3.237664346159757
109,5,367.29985169622574,73.45997033924515,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2016,1,110,1,0,0,4.049001712201747
110,5,392.56334931271454,78.51266986254291,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2015,1,110,1,0,0,4.1347151440277345
111,5,364.0998652152451,72.81997304304902,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2014,1,110,1,0,0,4.452399512469604
112,5,370.3959424661204,74.07918849322408,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2013,1,110,1,0,0,4.344983824099034
113,5,316.43263381169584,63.286526762339165,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2012,1,110,1,0,0,4.0421775997101514
114,5,231.92053549096389,46.38410709819278,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2011,1,110,1,0,0,2.7473981571692936
115,5,230.10402906651655,46.02080581330331,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2010,1,110,1,0,0,3.3193823946194354
116,5,205.50535743034038,41.10107148606808,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2009,1,110,1,0,0,2.832748642605754
117,5,253.9388285109485,50.7877657021897,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2008,1,110,1,0,0,3.48559328933886
118,5,268.1829985315532,53.63659970631064,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2007,1,110,1,0,0,3.5704747459652517
119,5,229.81669167512396,45.963338335024794,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2006,1,110,1,0,0,3.039739792226217
120,5,203.39262514967626,40.67852502993525,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2005,1,110,1,0,0,4.005610694748407
121,5,164.72170300101715,32.94434060020343,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2004,1,110,1,0,0,3.249936559368866
122,5,148.74713474802425,29.74942694960485,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2003,1,110,1,0,0,8.857774974038284
123,5,118.52562992373574,23.70512598474715,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2002,1,110,1,0,0,5.9006418034016885
124,5,94.5116320580201,18.90232641160402,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2001,1,110,1,0,0,7.076856193335555
125,5,83.62548218400153,16.725096436800307,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2000,1,110,1,0,0,7.214085362345706
126,5,60.874080684058114,12.174816136811623,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1999,1,110,1,0,0,5.341038244380959
127,5,46.82985881634186,9.365971763268373,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1998,1,110,1,0,0,5.450193009030206
128,5,36.74778034358123,7.349556068716247,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1997,1,110,1,0,0,3.6907161999193487
129,5,26.865139913300695,5.373027982660139,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1996,1,110,1,0,0,4.527531719327159
130,5,25.04660490806586,5.009320981613172,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1995,1,110,1,0,0,4.577506163123125
131,5,18.41216437802274,3.6824328756045484,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1994,1,110,1,0,0,4.38844682322969
132,5,15.146433442304176,3.029286688460835,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1993,1,110,1,0,0,3.416713046684341
133,5,12.785088718582324,2.557017743716465,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1992,1,110,1,0,0,2.882677178586058
134,5,12.603265015943999,2.5206530031887997,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1991,1,110,1,0,0,2.836963972007812
135,5,10.501237834887378,2.1002475669774756,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1990,1,110,1,0,0,4.184634326108838
136,5,10.217773915995503,2.0435547831991006,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1989,1,110,1,0,0,3.609633939059977
137,5,9.15454189972411,1.830908379944822,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1988,1,110,1,0,0,3.236131995375385
138,5,9.00619255308734,1.801238510617468,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1987,1,110,1,0,0,6.0769448474299885
139,5,7.780739775004618,1.5561479550009236,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1986,1,110,1,0,0,5.270726638934493
140,5,5.992761098455286,1.1985522196910572,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1985,1,110,1,0,0,2.2040211127005502
141,5,4.779871405562617,0.9559742811125235,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1984,1,110,1,0,0,3.0299502156912697
142,5,3.5629958872973577,0.7125991774594715,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1983,1,110,1,0,0,2.1806713588570226
143,5,2.6061493961116446,0.5212298792223289,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1982,1,110,1,0,0,1.428263473973399
144,5,1.8323500164585729,0.3664700032917146,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1981,1,110,1,0,0,1.0382785141654192
145,5,23.19180710506584,4.638361421013168,2020,8,7,26,26161,21,4,2201210401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1980,1,110,1,0,0,17.225214107680436
